movieId,title,url,img_url,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,War,Musical,Documentary,IMAX,Western,Film-Noir,(no genres listed)
1,Toy Story (1995),https://www.themoviedb.org/movie/862.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Jumanji (1995),https://www.themoviedb.org/movie/8844.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/6aGn2X51bahFoOI8wE1h2VGTgcH.jpg,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Grumpier Old Men (1995),https://www.themoviedb.org/movie/15602.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Waiting to Exhale (1995),https://www.themoviedb.org/movie/31357.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/4uw6HKq4vlhrSVp0zkgd4zCy4Pf.jpg,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Father of the Bride Part II (1995),https://www.themoviedb.org/movie/11862.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Heat (1995),https://www.themoviedb.org/movie/949.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
7,Sabrina (1995),https://www.themoviedb.org/movie/11860.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Tom and Huck (1995),https://www.themoviedb.org/movie/45325.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Sudden Death (1995),https://www.themoviedb.org/movie/9091.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,GoldenEye (1995),https://www.themoviedb.org/movie/710.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/bFzjdy6ucvNlXmJwoSoYfufV6lP.jpg,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11,"American President, The (1995)",https://www.themoviedb.org/movie/9087.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Dracula: Dead and Loving It (1995),https://www.themoviedb.org/movie/12110.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,Balto (1995),https://www.themoviedb.org/movie/21032.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Nixon (1995),https://www.themoviedb.org/movie/10858.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ORlTkdDwWU94O16MlwfIR4g5Hk.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Cutthroat Island (1995),https://www.themoviedb.org/movie/1408.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,Casino (1995),https://www.themoviedb.org/movie/524.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/v2lGZFMS9fiUUyJ2xvM7zZH7Eps.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Sense and Sensibility (1995),https://www.themoviedb.org/movie/4584.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Four Rooms (1995),https://www.themoviedb.org/movie/5.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Ace Ventura: When Nature Calls (1995),https://www.themoviedb.org/movie/9273.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Money Train (1995),https://www.themoviedb.org/movie/11517.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,Get Shorty (1995),https://www.themoviedb.org/movie/8012.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/qj3iDIqclkcZf8qibAMeSKfuewy.jpg,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
22,Copycat (1995),https://www.themoviedb.org/movie/1710.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/lKNjGQXTy5WkSjAtLzLzAN9IHCD.jpg,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
23,Assassins (1995),https://www.themoviedb.org/movie/9691.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/kgqS4jn60E8UIExfceMUExB3ZKK.jpg,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
24,Powder (1995),https://www.themoviedb.org/movie/12665.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
25,Leaving Las Vegas (1995),https://www.themoviedb.org/movie/451.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/nqc2LaUWB4ePf6IqpJ6D8apBDvn.jpg,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Othello (1995),https://www.themoviedb.org/movie/16420.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/nNP3FDHUIyztw5eq5AejZKzqXbz.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Now and Then (1995),https://www.themoviedb.org/movie/9263.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/5nkAaadxFzzYfFyN3Q5j4VZKRsA.jpg,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Persuasion (1995),https://www.themoviedb.org/movie/17015.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",https://www.themoviedb.org/movie/902.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),https://www.themoviedb.org/movie/37557.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31,Dangerous Minds (1995),https://www.themoviedb.org/movie/9909.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),https://www.themoviedb.org/movie/63.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
34,Babe (1995),https://www.themoviedb.org/movie/9598.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dead Man Walking (1995),https://www.themoviedb.org/movie/687.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/wQmmJi5ypfHH2boXrQBmsep7qb2.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
38,It Takes Two (1995),https://www.themoviedb.org/movie/33689.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/sdes5TrRbymELYLG85YIxmFb1OP.jpg,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Clueless (1995),https://www.themoviedb.org/movie/9603.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"Cry, the Beloved Country (1995)",https://www.themoviedb.org/movie/34615.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/kGPsBswFOCjiGzXq4OZwzEAAODa.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Richard III (1995),https://www.themoviedb.org/movie/31174.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
42,Dead Presidents (1995),https://www.themoviedb.org/movie/11443.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/eGfsSXizR11tTHVo0kuOOFPAxZt.jpg,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
43,Restoration (1995),https://www.themoviedb.org/movie/35196.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Mortal Kombat (1995),https://www.themoviedb.org/movie/9312.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,To Die For (1995),https://www.themoviedb.org/movie/577.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/aedhsShrlJVhLlwhtlmFJgR4Szs.jpg,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
